original_language,id
en,32251
fr,2436
it,1529
ja,1347
de,1079
es,994
ru,826
hi,508
ko,444
zh,409
sv,383
pt,316
cn,313
fi,295
nl,248
da,224
pl,219
tr,150
cs,130
el,113
no,106
fa,100
hu,100
ta,78
th,75
he,67
sr,63
ro,57
te,45
ar,39
ml,36
xx,33
hr,29
bn,29
mr,25
et,24
is,24
tl,23
id,20
lv,18
ka,18
sl,17
uk,16
bs,14
ca,12
bg,10
ab,10
vi,10
lt,9
sk,9
ur,8
nb,6
mk,5
wo,5
sq,5
sh,5
ms,5
ky,3
kn,3
ku,3
kk,3
eu,3
bm,3
af,2
am,2
ps,2
pa,2
iu,2
bo,2
mn,2
lo,2
ne,2
ay,1
eo,1
cy,1
la,1
lb,1
hy,1
fy,1
gl,1
jv,1
mt,1
si,1
rw,1
qu,1
sm,1
tg,1
uz,1
zu,1
